word,part_of_speech,is_ste,approved_meaning,ste_example,non_ste_example
decrease,noun,0,"DECREASE
              (verb)",THE PRESSURE MUST DECREASE BY MORE THAN 2 bar.,There must be a decrease in pressure of more than 2 bar.
decrement,noun,0,"INCREMENT
              (noun)",TURN THE ADJUSTER COUNTERCLOCKWISE IN INCREMENTS OF 60 DEG.,Turn the adjuster anticlockwise in decrements of 60 deg.
define,verb,0,"CALCULATE
              (verb)",CALCULATE THE QUANTITY OF FUEL THAT IS NECESSARY FOR THE FLIGHT.,Define the amount of fuel required for the flight.
deflect,verb,0,"MOVE
              (verb)",THE BARS MOVE TO THE RIGHT SIDE.,Bars deflect to the right.
deflection,noun,0,"MOVEMENT
              (noun)",REMOVE ALL THE RIGGING PINS AND EQUIPMENT THAT PREVENT FREE MOVEMENT OF THE CONTROL SURFACES.,Remove all rigging pins and equipment preventing free deflection of control surfaces.
deformed,adjective,0,"DAMAGED
              (adjective)",THE COVER ON THE GUN CAMERA IS DAMAGED.,The cover on the gun camera is deformed.
defueling,noun,0,"DEFUEL
              (verb)",DEFUEL ONLY IN AN OPEN AREA THAT HAS A GOOD AIRFLOW.,Only do the defueling in an open area that is well-ventilated.
degrease,verb,0,"GREASE
              (Technical noun)",REMOVE ALL GREASE FROM THE FAYING SURFACE WITH SOLVENT.,Degrease the faying surface with solvent.
delay,noun,0,"INTERVAL
              (noun)","BEFORE YOU CONTINUE THE TEST, AN INTERVAL OF 5 MINUTES IS NECESSARY.",A delay of 5 minutes is necessary before continuing with the test.
delay,verb,0,"AFTER
              (preposition)",ONLY USE THE STARTER AFTER A PERIOD OF 20 MINUTES.,Use of the starter must be delayed for 20 minutes.
delete,verb,0,"ERASE
              (verb)",ERASE THE FLIGHT DATA FROM THE SYSTEM.,Delete the flight data from the system.
delicate,adjective,0,EASILY DAMAGED,BE CAREFUL WITH EASILY DAMAGED PARTS.,Be careful with delicate parts.
deliver,verb,0,"SUPPLY
              (verb)",SET THE RIG TO SUPPLY A PRESSURE OF 800 kPa.,Set the rig so that it delivers a pressure of 800 kPa.
delivery,noun,0,"SUPPLY
              (verb)",A CENTRIFUGAL PUMP SUPPLIES HYDRAULIC FLUID TO THE UNIT.,Hydraulic fluid delivery to the unit is ensured by a centrifugal pump.
demand,verb,0,"NECESSARY
              (adjective)","IN THIS CONFIGURATION, A DIFFERENT TEST PROCEDURE IS NECESSARY.",This configuration demands a different test procedure.
denote,verb,0,"SHOW
              (verb)",FIGURE 2 SHOWS THAT YOU CAN INSTALL AN ALTERNATIVE RELAY.,Figure 2 denotes that an alternative relay may be installed.
dent,verb,0,"DENT
              (Technical noun)",DO NOT MAKE DENTS IN THE BELLOWS.,Do not dent the bellows.
depend,verb,0,"IF
              (conjunction)",THE TENSION IN THE CABLES DECREASES IF THE TEMPERATURE INCREASES.,Cable tension changes depending on the temperature.
deplete,verb,0,"DECREASE
              (verb)",DO NOT OPERATE THE BRAKES TO DECREASE THE PRESSURE IN THE ACCUMULATORS.,Do not deplete accumulators by operating the brakes.
deposit,noun,0,"PARTICLE
              (noun)","IF THERE ARE METAL PARTICLES IN THE OIL FILTER, EXAMINE THE FILTER ELEMENT FOR WEAR.","If there are metal deposits in the oil filter, check the filter element for wear."
depress,verb,0,"PUSH
              (verb)",PUSH THE BUTTON AND THEN RELEASE IT.,Depress and release the button.
depressurize,verb,0,"PRESSURE
              (Technical noun)",RELEASE THE PRESSURE FROM THE HYDRAULIC SYSTEM.,Depressurize the hydraulic system.
describe,verb,0,"GIVE
              (verb)",THIS SECTION GIVES THE PROCEDURES FOR THE LEAK TEST OF THE SYSTEM.,This section describes the procedures for testing the system for leaks.
deselect,verb,0,"CANCEL
              (verb)",PUSH THE BUTTON TO CANCEL THE FREEZE MODE.,Press the button to deselect the freeze mode.
design,verb,0,"HAVE
              (verb)",THE MAIN LANDING GEAR DOORS HAVE STEPS FOR ACCESS TO THE LANDING GEAR BAY.,The main landing gear doors are designed with steps for access to the landing gear bay.
desired,adjective,0,"NECESSARY
              (adjective)",ADD THE NECESSARY QUANTITY OF OIL.,Add the desired quantity of oil.
destroy,verb,0,"BREAK
              (verb)",BREAK THE CONTAINER TO MAKE SURE THAT YOU CANNOT USE IT AGAIN.,"To prevent further use, destroy the container."
detach,verb,0,"DISCONNECT
              (verb)",DISCONNECT THE PIPELINE FROM THE UNION.,Detach the pipeline from the union.
detail,noun,0,"INSTRUCTION
              (noun)",THIS PROCEDURE GIVES THE INSTRUCTIONS TO ATTACH THE PYLON.,This procedure gives details on how to attach the pylon.
detail,verb,0,"GIVE
              (verb)",THIS SECTION GIVES THE REMOVAL / INSTALLATION INSTRUCTIONS.,This section details the Removal / Installation instructions.
detect,verb,0,"FIND
              (verb)","TO FIND DAMAGE ON WIRES, RUB A CLOTH ALONG THEM.","To detect damage to wires, rub a cloth along them."
determine,verb,0,"FIND
              (verb)",FIND THE DEFECTS IN THE SYSTEM.,Determine the defects in the system.
detrimental,adjective,0,"DANGEROUS
              (adjective)",HYDRAULIC FLUID IS DANGEROUS FOR YOUR HEALTH.,Hydraulic fluid is detrimental to health.
develop,verb,0,"START
              (verb)","IF A FIRE STARTS, OPERATE THE FIRE SHUTOFF VALVE.","If a fire develops, operate the fire shutoff valve."
deviate,verb,0,"OBEY
              (verb)",PERSONNEL MUST OBEY THIS PROCEDURE.,Personnel must not deviate from this procedure.
devise,verb,0,"MAKE
              (verb)","IF THE HOLDING FIXTURE IS NOT AVAILABLE, MAKE A SUPPORT FROM THE SHIPPING CONTAINER.","If the holding fixture is not available, devise one from the shipping container."
diagnose,verb,0,"FIND
              (verb)",FIND THE CAUSE OF THE MALFUNCTION.,Diagnose the cause of the malfunction.
diametrically,adverb,0,"OPPOSITE
              (adjective)",MAKE SURE THAT THE TWO OPPOSITE V-GROOVES ALIGN WITH THE RAILS.,Ensure the two diametrically opposed V-grooves are in line with the rails.
differ,verb,0,"DIFFERENT
              (adjective)","IF THE VALUES ARE DIFFERENT, DO THIS TEST.","If the values differ, do the following test."
differentiate,verb,0,"IDENTIFY
              (verb)",LETTERS IDENTIFY THE WIRE SEGMENTS.,Letters are used to differentiate between the wire segments.
difficult,adjective,0,NOT EASY,"IF IT IS NOT EASY TO INSTALL THE RIGGING PIN, ADJUST THE LENGTH OF THE ROD.","If the rigging pin is difficult to install, adjust the length of the rod."
difficulty,noun,0,NOT EASY,"IF IT IS NOT EASY TO REMOVE THE BOLT, APPLY PENETRANT OIL.","If there is difficulty in removing the bolt, apply penetrant oil."
dilute,verb,0,"MIX
              (verb)",MIX THE PRIMER WITH SOLVENT.,Dilute the primer with solvent.
dim,verb,0,"DECREASE
              (verb)",DECREASE THE LIGHT GRADUALLY.,Dim the light gradually.
diminish,verb,0,"DECREASE
              (verb)","IF THE HYDRAULIC PRESSURE DECREASES, CLOSE THE VALVE.","If the hydraulic pressure diminishes, close the valve."
dip,verb,0,"MOMENTARILY
              (adverb)",PUT THE ELEMENT INTO THE SOLVENT MOMENTARILY.,Dip the element in solvent.
direct,verb,0,"POINT
              (verb)",POINT THE OPEN END OF THE DRAIN HOSE AWAY FROM THE STRUCTURE.,Direct the open end of the drain hose away from the structure.
disappear,verb,0,"VIEW
              (noun)",THE HORIZONTAL BAR GOES OUT OF VIEW.,The horizontal bar disappears from the window.
discharge,verb,0,"RELEASE
              (verb)",RELEASE PRESSURE FROM THE TANKS.,Discharge pressure from the tanks.
discharge,verb,0,"GO
              (verb)",THE UNWANTED AIR GOES OVERBOARD.,The unwanted air discharges overboard.
discontinue,verb,0,"STOP
              (verb)",STOP THE TEST PROCEDURE.,Discontinue the test procedure.
discover,verb,0,"FIND
              (verb)","IF YOU FIND CORROSION DURING THE INSPECTION, REMOVE IT.","If you discover corrosion during the inspection, remove it."
discrepancy,noun,0,"DIFFERENCE
              (noun)","IF THERE IS A DIFFERENCE OF MORE THAN 5 mm, MAKE SURE THAT THE ADJUSTMENT IS CORRECT.","If the discrepancy is greater than 5 mm, check the adjustment."
disinfect,verb,0,"DISINFECTANT
              (Technical noun)",USE DISINFECTANT TO CLEAN THE MASK ASSEMBLIES.,Disinfect the mask assemblies.
dismantle,verb,0,"DISASSEMBLE
              (verb)",DISASSEMBLE THE BRAKE UNIT IN THE WORKSHOP.,Dismantle the brake unit in the workshop.
dispatch,verb,0,"SEND
              (verb)",SEND A REPORT TO THE INSPECTION DEPARTMENT.,Dispatch a report to the Inspection Department.
disperse,verb,0,"REMOVE
              (verb)",BLOW THROUGH THE TUBES TO REMOVE THE REMAINING FLUID.,Blow through the tubes to disperse the residual fluid.
displace,verb,0,"MOVE
              (verb)",THE PISTON MOVES THE FLUID.,Fluid is displaced by the piston.
display,verb,0,"SHOW
              (verb)",THE COMPASS INDICATORS SHOW THE HEADINGS.,The headings are displayed on the compass indicators.
dispose of,verb,0,"DISCARD
              (verb)",DISCARD THE USED OIL. REFER TO THE APPLICABLE ENVIRONMENTAL REGULATIONS.,Dispose of the used oil according to the applicable environmental regulations.
disposition,noun,0,"LOCATION
              (noun)","BEFORE YOU START THE ENGINE, MAKE SURE THAT THE FIRE EXTINGUISHERS ARE IN THEIR CORRECT LOCATIONS.",Check the disposition of the fire extinguishers before you start the engine.
disregard,verb,0,"IGNORE
              (verb)","DO THE GENERATOR DRIVE TEST, BUT IGNORE STEPS 16 THRU 20.","Perform the generator drive test, but disregard steps 16 thru 20."
distinct,adjective,0,"CLEAR
              (adjective)",MAKE SURE THAT THE SOUND IS CLEAR.,Ensure the sound is distinct.
distinctly,adverb,0,"CLEARLY
              (adverb)",ADJUST THE VOLUME UNTIL YOU HEAR THE SOUND CLEARLY.,You must adjust the volume until you hear the sound distinctly.
distort,verb,0,"TWIST
              (verb)","WHEN YOU TURN THE CONNECTORS, DO NOT TWIST THE PIPE.",Do not distort the pipe when turning the connectors.
distribute,verb,0,"APPLY
              (verb)",APPLY THE LOAD EQUALLY ON THE AREA.,Distribute the load evenly over the area.
distribution,noun,0,"SUPPLY
              (noun)",THE FUEL SUPPLY IS FROM THE COLLECTOR TANKS.,The fuel distribution is from the collector tanks.
disturb,verb,0,"MOVE
              (verb)","WHEN YOU INSTALL THE DISTRIBUTOR, DO NOT MOVE THE TIMING.",Do not disturb the timing during the distributor installation.
don,verb,0,"USE
              (verb)","WHEN YOU DO WORK ON FIRE EXTINGUISHERS, USE PROTECTIVE GOGGLES.",You must don protective goggles when working on fire extinguishers.
doubt,noun,0,NOT SURE,"IF YOU ARE NOT SURE THAT THE UNIT IS SERVICEABLE, DISCARD IT.","If there are doubts about the serviceability of the unit, discard it."
downward,adverb,0,"DOWN
              (adverb)",MAKE SURE THAT THE AIR OUTLET POINTS DOWN.,Make sure that the air outlet is positioned downward.
drag,verb,0,"PULL
              (verb)",PULL THE WIRES THROUGH THE CONDUIT.,Drag the wires through the conduit.
draw,verb,0,"MAKE
              (verb)",MAKE A LINE ON THE BLADE.,Draw a line on the blade.
dress,verb,0,"USE
              (verb)","BEFORE YOU GO INTO THE WORK AREA, USE THE NECESSARY PROTECTIVE CLOTHING.",Dress suitably before going into the work area.
drift,verb,0,"MOVE
              (verb)",THE HORIZON BAR CAN MOVE A SMALL DISTANCE.,The horizon bar may drift slightly.
drive,verb,0,"MOVE
              (verb)",THE ACTUATOR MOVES TO ZERO.,The actuator is driven to zero.
droop,verb,0,"MOVE
              (verb)","IF YOU DO NOT INSTALL THE RIGGING PIN, THE ELEVATORS WILL MOVE DOWN WHEN THERE IS NO PRESSURE IN THE SYSTEM.","If you do not install the rigging pin, the elevators will droop when there is no pressure in the system."
drop,verb,0,"FALL
              (verb)",PARTICLES THAT FALL INTO THE INTAKE CAN CAUSE DAMAGE.,Particles that drop into the intake may cause damage.
drop,verb,0,"DECREASE
              (verb)",THE PRESSURE DECREASES WHILE THE TIRES BECOME COOL.,The pressure drops as the tires cool.
due to,preposition,0,"BECAUSE OF
              (preposition)","BECAUSE OF THE SMALL DIAMETER OF THE HOLE, THE FLOW IS LOW.","Due to the small diameter of the hole, the flow is low."
dull,adjective,0,"DIM
              (adjective)",THE LAMP COMES ON WITH A DIM LIGHT.,The lamp comes on with a dull light.
duration,noun,0,"DURING
              (preposition)",DO NOT MAKE ADJUSTMENTS DURING THIS TEST.,Do not make adjustments for the duration of this test.
dust,verb,0,"APPLY
              (verb)",APPLY TALCUM POWDER TO THE AREA.,Dust the area with talcum powder.
early,adjective,0,"SHORT
              (adjective)","IF THE FILTERS BECOME CLOGGED AFTER AN UNUSUALLY SHORT TIME, SEND THEM TO THE LABORATORY FOR ANALYSIS OF THE CONTAMINATION.","If the filters clog at an unusually early stage, send them to the laboratory for analysis of the contamination."
earth,noun,0,"GROUND
              (noun)",MAKE SURE THAT THE ELECTRICAL SUPPLY GOES TO GROUND.,Make sure the electric supply goes to earth.
earth,verb,0,"GROUND
              (verb)",MAKE SURE THAT THE FUEL TANKS ARE CORRECTLY GROUNDED.,Make sure the fuel tanks are correctly earthed.
ease,noun,0,"EASILY
              (adverb)",MAKE SURE THAT YOU CAN MOVE THE HANDLE EASILY.,The handle must move with ease.
ease,verb,0,CAREFULLY REMOVE,CAREFULLY REMOVE THE TRIM COVER FROM THE ADHESIVE TAPE.,Ease the trim cover from the adhesive tape.
ease,verb,0,CAREFULLY MOVE,CAREFULLY MOVE THE PIPE INTO THE CORRECT POSITION.,Ease the pipe into the right position.
effect,verb,0,"DO
              (verb)",DO THE TIGHTENING PROCEDURE.,Effect the tightening procedure.
effective,adjective,0,"GOOD
              (adjective)",THIS MATERIAL GIVES GOOD PROTECTION FROM CORROSION.,This material provides effective protection from corrosion.
efficacious,adjective,0,"GOOD
              (adjective)",THIS IS A GOOD PROCEDURE TO REMOVE PAINT.,This is an efficacious way to remove paint.
efficient,adjective,0,"SATISFACTORY
              (adjective)",THE TRANSMISSION CONTROL PROTOCOL IS NOT SATISFACTORY FOR THE TRANSMISSION OF INTERACTIVE TRAFFIC.,The Transmission Control Protocol is not efficient for the transmission of interactive traffic.
efficiently,adverb,0,,UNIT OPERATES SATISFACTORILY.,Make sure the unit operates efficiently.
efflux,noun,0,"EXHAUST
              (noun)",MAKE SURE THAT THERE ARE SAFETY BARRIERS AROUND THE ENGINE EXHAUST AREA.,Ensure that there are safety barriers around the engine efflux area.
effort,noun,0,"FORCE
              (Technical noun)",DO NOT TIGHTEN THE BOLTS WITH TOO MUCH FORCE.,Do not use too much effort to tighten the bolts.
either,adjective,0,"ONE
              (Technical noun)","IF THERE IS MERCURY CONTAMINATION IN ONE OF THE TWO COMPARTMENTS, CLEAN THE AREA IMMEDIATELY.","If there is mercury spillage in either compartment, clean the area immediately."
either,conjunction,0,"OR
              (conjunction)",YOU CAN USE A RED PEN OR A GREEN PEN.,You can use either a red pen or a green pen.
either,pronoun,0,"ONE
              (Technical noun)",THERE ARE TWO SOLENOIDS. YOU CAN SUPPLY ELECTRICAL POWER TO ONE OR THE OTHER.,There are two solenoids. You can supply electrical power to either.
ejection,noun,0,"EJECT
              (verb)",PUSH THE APPLICABLE BUTTON TO EJECT THE DISK DRIVE.,Push the applicable button for disk drive ejection.
elapse,verb,0,"TIME
              (noun)",MAKE SURE THAT THE TIME BETWEEN STARTS IS A MINIMUM OF 30 SECONDS.,Check that 30 seconds have elapsed between starts.
eliminate,verb,0,"REMOVE
              (verb)",REMOVE ALL SHARP EDGES.,Eliminate all sharp edges.
emit,verb,0,"FROM
              (preposition)",THE VAPORS FROM THIS MATERIAL ARE DANGEROUS TO THE SKIN.,The vapors that this material emits are dangerous to the skin.
employ,verb,0,"USE
              (verb)",TYPE B UNITS USE A LOOSE COLLAR.,Type B units employ a loose collar.
empty,verb,0,"REMOVE
              (verb)",REMOVE ALL FUEL FROM THE FUEL TANKS.,Empty the fuel tanks.
enable,verb,0,"LET
              (verb)",THE DISASSEMBLY FIXTURE LETS YOU DISASSEMBLE THE MODULE.,The disassembly fixture enables you to disassemble the module.
encircle,verb,0,"AROUND
              (preposition)",PUT SEALANT AROUND EACH SCREW HOLE.,Encircle each screw hole with sealant.
enclosed,adjective,0,"CLOSED
              (adjective)","IF YOU USE SOLVENT IN A CLOSED SPACE, MAKE SURE THAT THERE IS GOOD AIRFLOW IN THE WORK AREA.",The work area must be well-ventilated if solvent is used in an enclosed space.
encounter,verb,0,"BE
              (verb)","IF THERE ARE ROUGH AREAS, REMOVE THEM WITH EMERY CLOTH.","If rough spots are encountered, remove them with emery cloth."
end,verb,0,"STOP
              (verb)",STOP THE TEST.,End the test.
enforce,verb,0,"OBEY
              (verb)",ALL PERSONNEL MUST OBEY THE SAFETY PRECAUTIONS.,Safety precautions must be enforced.
engagement,noun,0,"ENGAGE
              (verb)",MAKE SURE THAT THE SPLINES ENGAGE FULLY.,Make sure there is full engagement of the splines.
enlarge,verb,0,"INCREASE
              (verb)",INCREASE THE DIAMETER OF THE RIVET HOLE.,Enlarge the rivet hole diameter.
enough,adjective,0,"SUFFICIENT
              (adjective)",MAKE SURE THAT THERE IS SUFFICIENT PRESSURE IN THE ACCUMULATOR.,Make sure that there is enough pressure in the accumulator.
ensue,verb,0,"CAUSE
              (verb)",INCORRECT INSTALLATION WILL CAUSE DAMAGE.,Damage will ensue from incorrect installation.
ensure,verb,0,"MAKE SURE
              (verb)",MAKE SURE THAT THE CORRECT SEALS ARE INSTALLED.,Ensure that the correct seals are installed.
enter,verb,0,GO INTO,DO NOT GO INTO THE LABORATORY WITHOUT APPROVAL.,Do not enter the laboratory without approval.
enter,verb,0,"ENTRY
              (noun)",MAKE AN ENTRY IN THE LOGBOOK TO SHOW THAT YOU DID THE DEACTIVATION PROCEDURE.,Enter in the logbook that you did the deactivation procedure.
entire,adjective,0,"FULL
              (adjective)",THE ANTENNA MAKES A SCAN OF THE FULL RANGE OF FREQUENCIES.,The antenna makes a scan of the entire range of frequencies.
entirely,adverb,0,"FULLY
              (adverb)",THE SYSTEM IS FULLY AUTOMATIC.,The system is entirely automatic.
equal,verb,0,"SAME
              (adjective)",DIMENSION “X” MUST BE THE SAME AS DIMENSION “Z.”,Dimension X must equal dimension Z.
equip,verb,0,"INSTALL
              (verb)",INSTALL THE SHUTOFF VALVES ON EACH HP MANIFOLD.,Equip each HP manifold with shutoff valves.
equipped,adjective,0,"HAVE
              (verb)",BE CAREFUL WHEN YOU MOVE JET PIPES OR EXHAUST CONES THAT HAVE INSULATING BLANKETS.,Be careful when handling jet pipes or exhaust cones equipped with insulating blankets.
erect,verb,0,"ASSEMBLE
              (verb)","BEFORE YOU LIFT THE GEARBOX, ASSEMBLE THE MOVABLE HOIST.",Erect the movable hoist before lifting the gearbox.
erratic,adjective,0,"IRREGULAR
              (adjective)",THE OPERATION OF THE COMPASS IS IRREGULAR.,The compass is erratic.
escape,verb,0,"DEFLATE
              (verb)",DEFLATE THE TIRE.,Let the air escape from the tire.
establish,verb,0,"MAKE SURE
              (verb)","IN THE STEP THAT FOLLOWS, MAKE SURE THAT THE FUEL PUMP OPERATES CORRECTLY.","In the following step, establish the correct functioning of the fuel pump."
estimate,verb,0,"ESTIMATE
              (noun)",MAKE AN ESTIMATE OF THE QUANTITY OF CLEANING FLUID THAT IS NECESSARY.,Estimate the amount of cleaning fluid that is necessary.
evaluate,verb,0,"EXAMINE
              (verb)",EXAMINE THE DAMAGE AFTER AN ACCIDENT.,Evaluate the damage after an accident.
evaluation,noun,0,"EXAMINE
              (verb)",EXAMINE THE DAMAGE.,Do an evaluation of the damage.
evaporate,verb,0,"DRY
              (verb)",LET THE COMPOUND DRY.,Allow the solvent to evaporate from the compound.
even,adjective,0,"SMOOTH
              (adjective)",A GUIDE ROD IS ATTACHED TO THE METAL BELLOWS DISC FOR A SMOOTH MOVEMENT OF THE BELLOWS.,A guide rod is attached to the metal bellows disc for an even movement of the bellows.
evenly,adverb,0,"GRADUALLY
              (adverb)",INCREASE THE TEMPERATURE GRADUALLY.,Increase the temperature evenly.
event,noun,0,"IF
              (conjunction)","IF THE PRESSURE DECREASES SUDDENLY, CLOSE THE VALVE.","In the event of a sudden dropping of pressure, close the valve."
eventually,adverb,0,SOME TIME,"IF THE CABLE RUBS, IT WILL BREAK AFTER SOME TIME.","If the cable chafes, it will eventually break."
every,adjective,0,"ALL
              (adjective)",REMOVE ALL SAFETY PINS BEFORE FLIGHT.,Every safety pin must be removed before flight.
every,adjective,0,"EACH
              (adjective)",SET THE BTRY SWITCH TO “ON” EACH TIME.,It is necessary to set the BTRY switch to ON every time.
evidence,noun,0,"INDICATION
              (noun)","IF THERE IS AN INDICATION OF A LEAK, REPLACE THE VALVE.","If there is evidence of a leak, replace the valve."
evidence,verb,0,"SHOW
              (verb)","IF THE TEST SHOWS NO FAULT, CONTINUE THE PROCEDURE.","If no fault is evidenced by the test, continue the procedure."
evident,adjective,0,"FIND
              (verb)","IF YOU DO NOT FIND DAMAGE, CONTINUE THE INSPECTION.","If no damage is evident, continue the inspection."
exact,adjective,0,"ACCURATE
              (adjective)","IF THE INDICATION IS NOT ACCURATE, DO THE TEST AGAIN.","If the indication is not exact, do the test again."
exactly,adverb,0,"ACCURATELY
              (adverb)",PUT THE REPAIR SHEET ACCURATELY ON THE DAMAGED AREA.,Put the repair sheet exactly on the damaged area.
examination,noun,0,"EXAMINE
              (verb)",EXAMINE THE BLADE FOR CRACKS.,Do an examination of the blades for cracks.
exceed,verb,0,MORE THAN,MAKE SURE THAT THE INDICATION IS NOT MORE THAN 400 KNOTS.,Ensure that the indication does not exceed 400 knots.
except,preposition,0,"To replace this word, use a different construction. Be accurate.",KEEP ALL THE PARTS THAT ARE SERVICEABLE AND DISCARD THOSE THAT ARE BROKEN.,Keep all parts except those that are broken.
exception,noun,0,"To replace this word, use a different construction. Be accurate.",KEEP ALL THE PARTS THAT ARE SERVICEABLE AND DISCARD THOSE THAT ARE BROKEN.,Keep all parts with the exception of those that are broken.
exceptional,adjective,0,"UNUSUAL
              (adjective)","IF IT IS NECESSARY TO APPLY UNUSUAL FORCE TO OPEN THE UNIT, EXAMINE THE CONTROL LINKAGE.","If exceptional force is needed to open the unit, examine the control linkage."
exceptionally,adverb,0,"UNUSUALLY
              (adverb)","IF THE TIRE PRESSURE IS UNUSUALLY HIGH, OPEN THE VALVE.","If the tire pressure is exceptionally high, open the valve."
excess,adjective,0,TOO MUCH,DO NOT APPLY TOO MUCH ADHESIVE ON THE GASKET.,Do not apply excess adhesive on the gasket.
excess,noun,0,TOO MUCH,"IF YOU USE TOO MUCH PAINT, THE FINISH WILL BE UNSATISFACTORY.",An excess of paint will give a poor finish.
excessive,adjective,0,TOO MUCH,TOO MUCH FORCE CAN CAUSE DAMAGE TO THE SEAL.,Excessive force can damage the seal.
excessively,adverb,0,TOO MUCH,BE CAREFUL NOT TO TURN THE INNER RACES TOO MUCH.,Be careful not to excessively rotate the inner races.
exchange,verb,0,"INTERCHANGE
              (verb)",INTERCHANGE THE No. 1 AND No. 2 COMPUTERS. THEN DO THE TEST AGAIN.,Exchange the No. 1 and No. 2 computers. Then do the test again.
exclude,verb,0,NOT INCLUDE,THIS PROCEDURE DOES NOT INCLUDE THE REMOVAL OF THE PISTON.,This procedure excludes the removal of the piston.
excluding,preposition,0,"WITHOUT
              (preposition)","THE WEIGHT OF THE UNIT, WITHOUT THE MOTOR, IS 10 kg.","The weight of the unit, excluding the motor, is 10 kg."
execute,verb,0,"DO
              (verb)",DO THESE STEPS.,Execute the following operations.
exempt,adjective,0,"NO
              (adjective)",MAKE SURE THAT THERE ARE NO METAL PARTICLES IN THE OIL.,Ensure the oil is exempt from metal particles.
exercise,verb,0,"MAKE SURE
              (verb)",MAKE SURE THAT YOU DO NOT GET ACID ON YOUR SKIN.,Exercise caution not to allow acid to contact skin.
exert,verb,0,"APPLY
              (verb)",APPLY A LIGHT FORCE TO THE PEDALS.,Exert a light force on the pedals.
exhale,verb,0,"BREATHE
              (verb)",BREATHE INTO THE OXYGEN MASK.,Exhale into the oxygen mask.
exhaust,verb,0,"REMOVE
              (verb)",USE A FAN TO REMOVE THE GASES.,Exhaust the gases using a fan.
exhaust,verb,0,"RELEASE
              (verb)",RELEASE THE HYDRAULIC PRESSURE IN THE ACCUMULATOR.,Exhaust all the hydraulic pressure in the accumulator.
exhaustive,adjective,0,"ALL
              (adjective)",ALL THE TEST CONDITIONS ARE GIVEN IN PARAGRAPH 2.0.,An exhaustive list of test conditions is given at paragraph 2.0.
exist,verb,0,"BE
              (verb)",THERE ARE TWO DIFFERENT PROCEDURES FOR THIS REPAIR.,Two different procedures exist for this repair.
expect,verb,0,"POSSIBLE
              (adjective)","IF IT IS POSSIBLE THAT THE TEMPERATURE WILL DECREASE TO -20 DEGREES C, REMOVE THE BATTERIES.","If temperature is expected to drop to -20 degrees C, remove the batteries."
expel,verb,0,"REMOVE
              (verb)",REMOVE THE AIR BUBBLES FROM THE COMPOUND WITH A SPATULA.,Expel the air bubbles from the compound with a spatula.
expel,verb,0,"RELEASE
              (verb)",RELEASE ALL NITROGEN.,Expel all nitrogen.
explain,verb,0,"TELL
              (verb)",THE TECHNICIAN WILL TELL THE OPERATOR THE PROCEDURE FOR SENSOR CALIBRATION.,The technician will explain the sensor calibration procedure to the operator.
expose,verb,0,"GET
              (verb)",REMOVE THE COVER ASSEMBLY TO GET ACCESS TO THE LAMP ASSEMBLY.,Remove cover assembly to expose lamp assembly.
extent,noun,0,"DEPTH
              (noun)",MEASURE THE DEPTH OF THE CRACK.,Measure the extent of the crack.
exterior,noun,0,"EXTERNAL
              (adjective)",EXAMINE THE EXTERNAL SURFACE OF THE CONTAINER.,Examine the exterior of the container.
extra,adjective,0,"MORE
              (adjective)",THIS MATERIAL GIVES MORE PROTECTION.,This material provides extra protection.
extract,verb,0,"REMOVE
              (verb)",REMOVE THE BOLT.,Extract the bolt.
extreme,adjective,0,"VERY HIGH
              (adjective)",DO NOT APPLY VERY HIGH LOADS.,Do not apply extreme loads.
extremely,adverb,0,"VERY
              (adverb)",IT IS VERY IMPORTANT TO OBEY THE SAFETY PRECAUTIONS.,It is extremely important to observe the safety precautions.
exude,verb,0,"OUT OF
              (preposition)",MAKE SURE THAT GREASE COMES OUT OF THE JOINT.,Make sure grease exudes from the joint.
fabricate,verb,0,"MAKE
              (verb)",USE COPPER TO MAKE THE CHILL BLOCK.,Use copper to fabricate the chill block.
face,verb,0,"POINT
              (verb)","WHEN YOU INSTALL THE PITOT HEAD, MAKE SURE THAT THE OPENING POINTS FORWARD.","When installing the pitot head, make sure that the opening is facing forward."
facilitate,verb,0,"HELP
              (verb)",IDENTIFY THE COMPONENT WITH A CODE TO HELP YOU TO CORRECTLY INSTALL IT AGAIN.,Mark the component with a code that will facilitate its correct reinstallation.
facility,noun,0,Be accurate. Use the name of the facility as a technical noun.,WEIGH THE AIRCRAFT ON A WEIGHBRIDGE.,You need a special facility to weigh the aircraft.
factor,noun,0,"CAUSE
              (noun)",THERE CAN BE MANY CAUSES FOR CORROSION.,Corrosion can be caused by several factors.
fail,verb,0,IF … NOT,"IF YOU DO NOT OBEY THESE INSTRUCTIONS, THERE IS A RISK OF INJURY.","If you fail to comply with these instructions, there is a risk of injury."
fail,verb,0,"UNSATISFACTORY
              (adjective)","IF THE TEST RESULTS ARE UNSATISFACTORY, DO THE FAULT ISOLATION PROCEDURE.","If the test fails, do the fault isolation procedure."
failed,adjective,0,"DEFECTIVE
              (adjective)",REPLACE THE DEFECTIVE PUMP.,Replace the failed pump.
failure,noun,0,IF … NOT,"IF YOU DO NOT OBEY THESE INSTRUCTIONS, THERE IS A RISK OF INJURY.","Failure to comply with these instructions, will result in a risk of injury."
faint,adjective,0,"DIM
              (adjective)","IF THE LIGHT IS TOO DIM, REPLACE THE BATTERY.","If the light is faint, replace the battery."
